Premise	Hypothesis	Label
He was born in Illinois, but moved to Oklahoma in 1949.	He was born in Illinois.	entailment
Season eight of "South Park", an American animated television series created by Trey Parker and Matt Stone, began airing on March 17, 2004.	Season eight of "South Park", an American animated television series created by Trey Parker and Thom Yorke, began airing on March 17, 2004.	contradiction
Throughout history the cooked fruit has been used as food, but the tree is also grown for its attractive pale pink blossoms and other ornamental qualities.	Throughout history the cooked fruit has been used as food.	entailment
The Ezhou - Huanggang built - up " " area was home to 1,035,496 inhabitants from the Echeng and Huangzhou, Huanggang Districts.	The Ezhou - Huanggang built-up ("or metro") area was home to 1,035,496 inhabitants from the Echeng and Huangzhou, Huanggang Districts.	neutral
A mother's boyfriend is a man whose girlfriend has a son or daughter from a previous marriage or relationship.	A mother's boyfriend is a man whose girlfriend has a girl or daughter from a previous marriage or relationship.	neutral
It is the only intermediate station along the Kowloon Southern Link project, built to connect the West Rail Line and East Rail Line.	It is the only intermediate station along the Kowloon Southern Link project, built to connect East Rail Line.	entailment
Among the 128 Division I-A teams, Nebraska is one of ten football programs to win 800 or more games.	Among the 128 Division I - A teams, Nebraska is one of ten football programs to win 800 games.	entailment
Each German Army also had an " Armeeoberkommando ", Army Command.	Each German Army also had an "Armeeoberkommando", Army Command, or AOK.	neutral
The house was set up to allow women to learn the trade of printing, and provided an apprenticeship program.	The house was set up to allow women to learn the trade of printing.	entailment
Vesnina was scheduled to partner with Marina Erakovic, but Erakovic withdrew before the first round for personal reasons.	Vesnina was scheduled to partner with Wulsin, but Erakovic withdrew before the first round for personal reasons.	contradiction
Among the top majors declared by JU students are aviation management, biology, nursing, business and marine science.	Among the top majors declared by JU students are aviation management, biology, nursing, business science.	entailment
It was released on April 7, 2017, and is the first album not to feature either longtime drummer Kurt Dahle or singer-songwriter Dan Bejar.	It was released on April 7, 2017, and is the first album not to feature either longtime drummer Kurt Dahle - songwriter Dan Bejar.	entailment
For that common play - together music pieces of the classic period are specially adapted new composed.	For that common play-together music pieces of the classic period are specially adapted or also new composed.	neutral
Richard Willis Hawley (born 17 January 1967) is an English guitarist, singer-songwriter and producer.	Richard Willis Hawley born 17 January 1967 is an English guitarist, singer - songwriter.	entailment
Trade unions may be formed with more members, although those in military service or in management positions may not form unions.	Trade unions may be formed with seven or more members, although those in military service or in management positions may not form unions.	neutral
It started as a football club, which was founded on 5 June 1905.	It started as a football club, which was founded on 5 June 1905, but later the sport handball became a part of the club.	neutral
The action takes place over the course of one night as they discuss their loving but often volatile past together and possible future without each other.	The action takes place over the course of one night as they discuss their often volatile past together and possible future without each other.	entailment
The United States was still war weary from the disruptive World War II campaign.	The United States was still war weary from the disruptive World War II campaign and refused South Korea's request for weapons and troops.	neutral
Visitors see depictions of buffalo hunters, Comanche warriors, explorers, in the theatre called the " Century of Adventure ", 1780 - 1880.	Visitors see depictions of buffalo hunters, Comanche warriors, explorers, and pioneers in the theatre called the "Century of Adventure", 1780-1880.	neutral
They are all kindergarten through sixth grade and located within the city of Burbank.	They are all kindergarten through sixth grade and located within the city of Mount Panorama.	contradiction
It was originally worn by the upper class as a daily hat, but spread to commoners and women in the later period.	It was originally worn by the upper class as a daily hat.	entailment
Trade unions may be formed with seven or more members, although those in military service or in management positions may not form unions.	Trade unions may be formed with two or more members, although those in military service or in management positions may not form unions.	neutral
It was also locally known as " Dark Cream Common Beer " Dark Cream Common Beer ", " Cream Beer " or " Common Beer ".	It was also locally known as "Dark Cream Common Beer", "Cream Beer" or "Common Beer".	neutral
He uses the stage name "Li Ming" or "Lai Ming" which literally means "dawn."	He uses the stage name " Li Ming " which literally means " dawn. "	entailment
Joakim Nyström was the defending champion, but did not participate this year.	Joakim Nyström did not participate this year.	entailment
Sometimes the junction name also refers to the surrounding community or area as well as just the highway junction itself.	Sometimes the junction name also refers to the surrounding community as well as just the highway junction itself.	entailment
These talks took place in 1974, but this is the first English translation.	These talks took place in 1975, but this is the first English translation.	contradiction
The DVDs were first released as single films but most later releases would be double features on single double-sided discs.	The DVDs were 100th released as single films but most later releases would be double features on single double-sided discs.	contradiction
The river breaks into three forks, the North, South Forks, of which the Middle Fork is considered the main stem.	The river breaks into three forks, the North, Middle and South Forks, of which the Middle Fork is considered the main stem.	neutral
Arrangement deals with issues of how to best organize an argument in order to attain the writer ’s goals.	Arrangement deals with issues of how to best organize an argument in order to attain the speaker or writer’s goals.	neutral
Sligo entered the All-Ireland Qualifiers but soon exited, with a tame 0-13 - 0-04 defeat by Kildare in their next game.	Sligo entered the All - Ireland Qualifiers.	entailment
Diamanten ("The Diamond") or Oksenøyveien 3 is an office building located at Fornebu in Bærum, Norway.	Diamanten " The Diamond " is an office building located at Fornebu in Bærum, Norway.	entailment
